MERC,XOM,BHP,ORCL,WMT,PEP,V,LVS,CI,COP,URI,TMUS,MRO,SLB,AVGO,CHV,MMM,MSFT,META,BOE
$12.72 ,$114.92 ,$66.81 ,$87.74 ,$140.98 ,$171.56 ,$231.32 ,$58.04 ,$289 ,$112.02 ,$455.90 ,$142.99 ,$26.87 ,$53.89 ,$614.45 ,$174.09 ,$116.90 ,$267.56 ,$191.62 ,$214.76 
$12.72 ,$111.73 ,$66.02 ,$88.53 ,$140.68 ,$171.82 ,$229.44 ,$57.85 ,$288.44 ,$107.49 ,$453.96 ,$141.97 ,$25.79 ,$53.09 ,$601.30 ,$169.64 ,$116.50 ,$256.77 ,$186.06 ,$206.81 
$12.93 ,$111.92 ,$67.08 ,$89.62 ,$141.71 ,$169.12 ,$230.13 ,$58.08 ,$292.59 ,$108.11 ,$455.07 ,$145.19 ,$26.03 ,$52.64 ,$597.62 ,$169.45 ,$117.49 ,$258.35 ,$186.53 ,$206.01 
$12.88 ,$111.15 ,$67.55 ,$89.38 ,$143.62 ,$169.97 ,$229.56 ,$57.40 ,$301.53 ,$111.30 ,$456.20 ,$146.95 ,$26.19 ,$52.29 ,$605.77 ,$169.01 ,$120.29 ,$264.60 ,$188.77 ,$209.34 
$12.83 ,$114.74 ,$70.10 ,$90.05 ,$144.67 ,$171.56 ,$230.90 ,$58.92 ,$313.28 ,$117.70 ,$454.90 ,$150.97 ,$26.78 ,$55.70 ,$602.75 ,$171.36 ,$115.86 ,$252.75 ,$153.12 ,$214.75 
$12.73 ,$116.01 ,$70.15 ,$88.46 ,$143.87 ,$171.02 ,$230.21 ,$59 ,$316.67 ,$121.87 ,$440.95 ,$149.31 ,$27.47 ,$56.98 ,$585.01 ,$174.02 ,$115.08 ,$247.81 ,$148.97 ,$213 
$12.34 ,$113.56 ,$69.67 ,$87.35 ,$142.15 ,$169.48 ,$229.10 ,$57.88 ,$310.36 ,$120.53 ,$429.04 ,$146.98 ,$27.09 ,$56.34 ,$581.45 ,$174.20 ,$112.58 ,$242.71 ,$147.06 ,$209.67 
$12.47 ,$115.61 ,$69.88 ,$88.99 ,$143.30 ,$169.62 ,$231.44 ,$58.92 ,$308.30 ,$123.61 ,$434.09 ,$146.73 ,$28.31 ,$56.97 ,$590.99 ,$179.45 ,$115.25 ,$248.16 ,$151.74 ,$211.17 
$12.55 ,$117.76 ,$71.24 ,$89.83 ,$142.21 ,$170.22 ,$224.71 ,$58.37 ,$313.20 ,$124.65 ,$431.48 ,$148.69 ,$28.76 ,$57.47 ,$598.58 ,$187.79 ,$113.55 ,$248 ,$147.30 ,$212.73 
$12.45 ,$113.21 ,$70.76 ,$89.64 ,$142.34 ,$171.93 ,$224.90 ,$55.02 ,$313.59 ,$120.37 ,$392.48 ,$148.07 ,$27.86 ,$56.25 ,$585.68 ,$179.08 ,$112.93 ,$240.61 ,$141.50 ,$212.68 
$12.35 ,$113.81 ,$69.76 ,$89.70 ,$143.02 ,$170.69 ,$223.89 ,$55.47 ,$308.99 ,$118.81 ,$393.80 ,$145.81 ,$27.85 ,$55.47 ,$585.03 ,$180.83 ,$115 ,$242.04 ,$143.14 ,$211.98 
$12.42 ,$112.76 ,$69.38 ,$88.97 ,$142.64 ,$169.12 ,$224.18 ,$55.39 ,$308.17 ,$120.13 ,$392.03 ,$144.37 ,$28.10 ,$55.86 ,$581.63 ,$180.66 ,$122.62 ,$242.58 ,$143.27 ,$209.97 
$12.43 ,$113.35 ,$69.46 ,$87.25 ,$140.54 ,$169.88 ,$224.31 ,$54.57 ,$308.36 ,$121.80 ,$383.67 ,$145.12 ,$27.88 ,$57.35 ,$570.78 ,$180.90 ,$120.65 ,$240.22 ,$139.37 ,$206.76 
$12.33 ,$111.32 ,$68.88 ,$85.94 ,$138.83 ,$169.63 ,$220.41 ,$54.37 ,$310.66 ,$119.64 ,$373.33 ,$145.14 ,$27.39 ,$57.38 ,$563.22 ,$179 ,$118.43 ,$231.93 ,$136.15 ,$207.09 
$12.13 ,$110.61 ,$68.06 ,$86.71 ,$140.84 ,$171.62 ,$219.46 ,$54.38 ,$308.36 ,$118.55 ,$386.01 ,$145.90 ,$26.88 ,$57.13 ,$574.29 ,$177.23 ,$122.75 ,$235.81 ,$133.02 ,$209.41 
$12.24 ,$112.93 ,$67.76 ,$88.60 ,$144.41 ,$176.06 ,$223 ,$54.45 ,$315 ,$120.24 ,$388.87 ,$146.98 ,$26.80 ,$58.46 ,$579.24 ,$180.49 ,$126.60 ,$240.35 ,$135.36 ,$211.41 
$12.36 ,$113.15 ,$69.28 ,$89.20 ,$145.29 ,$175.24 ,$223.06 ,$54.97 ,$314.21 ,$121.47 ,$392.24 ,$149.68 ,$27.08 ,$58.28 ,$579 ,$177.56 ,$129.51 ,$239.23 ,$136.98 ,$214.13 
$12.30 ,$113.22 ,$68.99 ,$88.78 ,$144.81 ,$175.78 ,$223.62 ,$53.50 ,$310.22 ,$120.16 ,$391.77 ,$149.91 ,$27.38 ,$58 ,$581.94 ,$177.08 ,$129.35 ,$238.51 ,$136.71 ,$214.32 
$11.96 ,$111.37 ,$67.30 ,$88.60 ,$146.13 ,$178.05 ,$222.10 ,$53.24 ,$309.23 ,$118.24 ,$383.97 ,$148.80 ,$27.05 ,$56.32 ,$578.14 ,$175.20 ,$129.12 ,$235.77 ,$132.89 ,$208.03 
$11.90 ,$110.09 ,$66.78 ,$86.50 ,$144.86 ,$177.85 ,$221.09 ,$53.80 ,$303.79 ,$118.08 ,$381.47 ,$149.56 ,$27.01 ,$55.96 ,$574.93 ,$176.04 ,$128.13 ,$228.85 ,$132.99 ,$206.69 
$12.34 ,$108.47 ,$65.62 ,$86.42 ,$144.95 ,$179.33 ,$218.60 ,$52.78 ,$303.04 ,$117.36 ,$376 ,$148.77 ,$27.03 ,$55.64 ,$576.89 ,$175.18 ,$126.79 ,$227.12 ,$129.47 ,$208.57 
$12.12 ,$110.53 ,$66.04 ,$85.66 ,$146.78 ,$181.10 ,$217.75 ,$51.57 ,$302.68 ,$118.23 ,$377.34 ,$148.57 ,$26.60 ,$54.50 ,$588.43 ,$176.56 ,$126.72 ,$224.93 ,$130.02 ,$213 
$11.78 ,$109.21 ,$63.33 ,$84.31 ,$143.27 ,$177.10 ,$211.11 ,$51.53 ,$304.19 ,$116.77 ,$364.09 ,$144.48 ,$25.87 ,$52.67 ,$555.02 ,$175.24 ,$122.96 ,$222.31 ,$126.94 ,$204.99 
$11.87 ,$106.82 ,$62.77 ,$84.48 ,$143.76 ,$178.97 ,$212.61 ,$51.89 ,$310.30 ,$113.34 ,$366.01 ,$139.96 ,$25.32 ,$51.70 ,$560.24 ,$172.14 ,$125.15 ,$229.10 ,$127.37 ,$203.64 
$11.60 ,$106.51 ,$61.40 ,$83.72 ,$143.60 ,$179.41 ,$207.39 ,$49.33 ,$321.48 ,$113.12 ,$356.71 ,$139.04 ,$25.64 ,$51.50 ,$553.48 ,$173.99 ,$122.47 ,$239.58 ,$124.74 ,$195.39 
$11.64 ,$110.30 ,$62.05 ,$81.74 ,$141.79 ,$180.66 ,$207.76 ,$48.07 ,$331.34 ,$118 ,$355.42 ,$140 ,$27.07 ,$53.46 ,$559.13 ,$179.49 ,$119.92 ,$239.82 ,$120.34 ,$190.49 
$11.51 ,$109.20 ,$62.24 ,$81.40 ,$142.15 ,$181.98 ,$208.06 ,$47.08 ,$330.72 ,$116.39 ,$356.21 ,$139.40 ,$26.78 ,$52.91 ,$557.81 ,$178.32 ,$120.57 ,$241.01 ,$120.26 ,$188.91 
